,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
1890,2906006.0,Campo Formoso,29.0,BA,463.98846153846154,482.0242647058824,465.9389705882353,500.7492307692308,581.6176470588235
1891,2906105.0,Canápolis,29.0,BA,458.8705882352941,445.5176470588235,433.13529411764705,474.5705882352941,607.0588235294117
1892,2906204.0,Canarana,29.0,BA,430.94375,442.9761904761905,439.447619047619,443.825,513.3333333333334
1893,2906303.0,Canavieiras,29.0,BA,472.1081081081081,508.66486486486485,500.4864864864865,510.9594594594595,587.5675675675676
1894,2906402.0,Candeal,29.0,BA,459.0142857142857,492.6125,470.5,498.9428571428571,517.5
1895,2906501.0,Candeias,29.0,BA,458.10178571428577,495.6225988700565,480.0299435028249,486.66785714285714,546.7796610169491
1896,2906600.0,Candiba,29.0,BA,454.86153846153843,466.6333333333333,437.9222222222222,474.8692307692308,624.4444444444445
1897,2906709.0,Cândido Sales,29.0,BA,469.0936170212766,481.08518518518514,445.18518518518516,497.84468085106386,491.1111111111111
1898,2906808.0,Cansanção,29.0,BA,434.178947368421,434.31499999999994,437.055,451.4894736842105,470.0
1899,2906824.0,Canudos,29.0,BA,418.6411764705882,444.2277777777778,423.57222222222225,453.7823529411765,535.5555555555555
1900,2906857.0,Capela do Alto Alegre,29.0,BA,476.8,501.4347826086956,474.995652173913,493.5173913043478,624.3478260869565
1901,2906873.0,Capim Grosso,29.0,BA,470.916129032258,494.669696969697,488.07575757575756,513.331182795699,568.4848484848485
1902,2906899.0,Caraíbas,29.0,BA,457.175,488.0,460.45000000000005,502.95,570.0
1903,2906907.0,Caravelas,29.0,BA,476.45,483.6774193548387,476.79999999999995,490.6535714285714,494.83870967741933
1904,2907004.0,Cardeal da Silva,29.0,BA,435.05,502.56875,439.625,465.84375,535.0
1905,2907103.0,Carinhanha,29.0,BA,446.8095238095238,443.93333333333334,438.7714285714286,457.41428571428577,507.6190476190476
1906,2907202.0,Casa Nova,29.0,BA,458.21111111111105,439.1375,438.51000000000005,473.0444444444444,515.0
1907,2907301.0,Castro Alves,29.0,BA,431.1810810810811,465.54634146341465,456.2682926829268,435.00540540540544,522.439024390244
1908,2907400.0,Catolândia,29.0,BA,429.475,467.09999999999997,411.4,476.25,340.0
1909,2907509.0,Catu,29.0,BA,484.4692307692308,506.4464052287582,486.65751633986935,499.6188811188811,595.0326797385621
1910,2907558.0,Caturama,29.0,BA,474.07272727272726,487.1545454545454,445.00909090909096,500.5,600.0
1911,2907608.0,Central,29.0,BA,495.69444444444446,517.9833333333333,494.34999999999997,549.4000000000001,664.4444444444445
1912,2907707.0,Chorrochó,29.0,BA,416.71666666666664,457.22222222222223,444.21666666666664,461.81111111111113,493.3333333333333
1913,2907806.0,Cícero Dantas,29.0,BA,464.7227272727273,491.31014492753627,480.73768115942033,504.05000000000007,568.9855072463768
1914,2907905.0,Cipó,29.0,BA,453.8391304347826,489.1127659574468,471.24042553191487,498.16739130434786,557.4468085106383
1915,2908002.0,Coaraci,29.0,BA,493.5018181818182,503.95818181818186,497.9654545454545,514.9418181818181,627.2727272727273
1916,2908101.0,Cocos,29.0,BA,457.23421052631585,461.3666666666667,439.46923076923076,481.0447368421053,537.4358974358975
1917,2908200.0,Conceição da Feira,29.0,BA,450.5952380952381,452.9045454545454,426.8636363636364,447.26190476190476,476.3636363636364
1918,2908309.0,Conceição do Almeida,29.0,BA,444.2481481481482,466.0740740740741,448.7074074074074,457.8,517.0370370370371
1919,2908408.0,Conceição do Coité,29.0,BA,481.56022727272733,496.0878947368421,475.87421052631584,519.4085227272727,575.7894736842105
1920,2908507.0,Conceição do Jacuípe,29.0,BA,479.85128205128206,512.1728395061729,491.6493827160494,513.9064102564103,621.2345679012345
